Variedad,Fecha,RendimientoPromedio,RendimientoDesviacion,
F2000,2016-07-01,10105,473,
F2000,2016-07-02,10105,473,
F2000,2016-07-03,10098,461,
F2000,2016-07-04,10098,461,
F2000,2016-07-05,10098,461,
F2000,2016-07-06,10098,461,
F2000,2016-07-07,10098,461,
F2000,2016-07-08,10098,461,
F2000,2016-07-09,10098,461,
F2000,2016-07-10,10111,368,
F2000,2016-07-11,10111,368,
F2000,2016-07-12,10111,368,
F2000,2016-07-13,10111,368,
F2000,2016-07-14,10111,368,
F2000,2016-07-15,10111,368,
F2000,2016-07-16,10111,368,
F2000,2016-07-17,10213,273,
F2000,2016-07-18,10213,273,
F2000,2016-07-19,10213,273,
F2000,2016-07-20,10213,273,
F2000,2016-07-21,10213,273,
F2000,2016-07-22,10213,273,
F2000,2016-07-23,10213,273,
F2000,2016-07-24,10257,282,
F2000,2016-07-25,10257,282,
F2000,2016-07-26,10257,282,
F2000,2016-07-27,10257,282,
F2000,2016-07-28,10257,282,
F2000,2016-07-29,10257,282,
F2000,2016-07-30,10257,282,
F2000,2016-08-05,10211,233,
F2000,2016-08-12,10178,264,
F2000,2016-08-19,10102,293,
F60,2016-07-01,10339,483,
F60,2016-07-08,10344,452,
F60,2016-07-15,10368,371,
F60,2016-07-22,10397,299,
F60,2016-07-29,10458,272,
F60,2016-08-05,10398,248,
F60,2016-08-12,10385,287,
F60,2016-08-19,10332,337,
F733,2016-07-01, 9587,476,
F733,2016-07-08, 9583,455,
F733,2016-07-15, 9620,360,
F733,2016-07-22, 9697,258,
F733,2016-07-29, 9746,272,
F733,2016-08-05, 9714,248,
F733,2016-08-12, 9653,288,
F733,2016-08-19, 9599,308,